beta,alpha
0.452031,0.5546601
0.47613302,0.52322525
0.4806938,0.52101046
0.48077983,0.5200898
0.4881003,0.51154435
0.4800914,0.5153232
0.47786096,0.524678
0.4856654,0.5153799
0.48687536,0.5138378
0.5041948,0.4962148
0.49208125,0.50968695
0.49201334,0.5072924
0.4985565,0.50138557
0.4851077,0.5156848
0.48643902,0.5155081
0.43495166,0.57370836
0.48246276,0.5184206
0.4558323,0.5506435
0.4287123,0.5855053
0.4605816,0.54178923
0.49226448,0.5073086
0.49676666,0.50300086
0.4695862,0.53225183
0.4862738,0.51432145
0.44163963,0.5661059
0.47859722,0.5226458
0.6219069,0.40182304
0.4788609,0.5229282
0.45350263,0.5515874
0.4998785,0.49853763
0.4919382,0.5088776
0.4770102,0.52585316
0.4748938,0.529062
0.48360464,0.516797
0.47036985,0.53188765
0.47354066,0.5288104
0.47824794,0.5225082
0.4346429,0.57621276
0.48309022,0.5179015
0.46548513,0.53625286
0.47768465,0.5238987
0.46265486,0.5405199
0.47601682,0.5254401
0.42777106,0.58356
0.45868373,0.54453284
0.49384797,0.50599056
0.48193806,0.51839596
0.4802611,0.5214456
0.48900825,0.51149666
0.46701917,0.5352676
0.45228487,0.55243593
0.4417818,0.5654631
0.49307317,0.5072178
0.4653859,0.5370082
0.4908391,0.50958025
0.45645666,0.5487811
0.4871237,0.51333
0.48077312,0.52760977
0.4568214,0.5466042
0.47185346,0.53028804
0.46655446,0.5352318
0.48111755,0.5192168
0.47473216,0.5272588
0.5028935,0.49766323
0.461321,0.5435174
0.48307353,0.5182228
0.48355797,0.5165414
0.44607794,0.5607486
0.4949274,0.50686866
0.47268292,0.52806485
0.44963437,0.55626225
0.45340607,0.55162126
0.4657511,0.53688425
0.4971865,0.5031282
0.45808566,0.5460308
0.4953215,0.5043328
0.4635282,0.54033816
0.49107444,0.5091776
0.48136958,0.52071154
0.49252778,0.50834316
0.46168292,0.54132825
0.4877085,0.51241195
0.46227032,0.5402256
0.47122613,0.52953863
0.48374444,0.51621836
0.48395643,0.5166232
0.46840107,0.53350544
0.48427072,0.5166952
0.48266232,0.516558
0.47439778,0.5256229
0.48653504,0.5145108
0.48919138,0.51144457
0.47803074,0.5218564
0.43171296,0.5808433
0.5020184,0.4966066
0.47767532,0.5234833
0.46469837,0.5390347
0.49012047,0.5098724
0.48607814,0.51397866
0.4616654,0.5402225
0.4538631,0.552195
0.4863186,0.5138278
0.46860492,0.53501713
0.4896948,0.5100736
0.48245668,0.5199065
0.25494614,0.9816571
0.46700737,0.53472793
0.31132334,0.80373096
0.48718005,0.51528674
0.467602,0.5345687
0.47339624,0.527496
0.439143,0.5682226
0.44897366,0.55695015
0.4654018,0.53760463
0.45423302,0.5511126
0.48716143,0.5139823
0.48631713,0.5145966
0.47778428,0.5245827
0.48615235,0.51550436
0.47713438,0.52296454
0.49442932,0.50599277
0.4850168,0.51480776
0.47461143,0.52716464
0.44881517,0.5560811
0.45775223,0.54643035
0.4463226,0.55907357
0.4934947,0.50560033
0.45189252,0.55404615
0.46326536,0.5397358
0.47327316,0.5300443
0.44475836,0.56180906
0.45865706,0.54667777
0.47364435,0.5278498
0.42517933,0.5873422
0.48503298,0.5172671
0.48139536,0.51961637
0.4927117,0.50674194
0.47096795,0.52817065
0.48655513,0.5131503
0.45763922,0.54684895
0.477856,0.5241495
0.47319365,0.52903575
0.49233657,0.5062462
0.45159313,0.55376774
0.47207084,0.5289328
